param,base_value,min_sampled,max_sampled,pearson_r,spearman_r,std_beta_abs,rf_importance,perm_importance_mean
RUE_ol,0.41,0.328,0.49199999999999994,0.7465394544632384,0.7446051167964404,0.6062579647910386,0.4421470781216398,0.6365696325549871
fresh_factor,2.2,1.7600000000000002,2.64,0.6843930275628826,0.6622914349276974,0.5571906020919032,0.2728893462845167,0.33244888660970406
forcing_e,9.0,7.2,10.799999999999999,0.35802147900242537,0.39265850945494996,0.060846966310206016,0.02690437258793078,0.010330320012761544
Irrigation_Efficiency,0.95,0.76,1.14,0.32765538358011537,0.3539488320355951,0.019072462782192788,0.008614410595323451,0.002810206091676844
root_frac_layer1,0.3333333333333333,0.26666666666666666,0.39999999999999997,-0.31425968705791535,-0.2863181312569522,0.09222386717294448,0.00784806585330729,0.0026979161502192297
harvest_doy,120.0,96.0,144.0,0.23461684278131764,0.24582869855394882,0.2333575425021191,0.02573566696233717,0.012518816565608914
PClf_pot_base,0.18,0.144,0.216,0.21542926157131423,0.20934371523915463,0.0086540446508205,0.005625237077357316,0.002238802041274979
FTSWm,0.05,0.04000000000000001,0.06,-0.1830323542602902,-0.22313681868743046,0.02540610051785487,0.008615349632665071,0.004603870017700803
T_max_chill_alt,16.0,12.8,19.2,-0.17908062014190926,-0.10878754171301447,0.04302550290225102,0.008579806139935137,0.0036714669061515288
Tb_forcing_alt,9.0,7.2,10.799999999999999,0.1757533421254945,0.1568409343715239,0.04588301942490633,0.010442861066670493,0.004344131183063412
TTSW2,110.0,88.0,132.0,0.17439703384067148,0.17241379310344826,0.0074889437459636716,0.0047557119075119685,0.000964077650225333
PlantD,1600.0,1280.0,1920.0,-0.16568881092838908,-0.1621802002224694,0.052282183423403364,0.0032950932952150224,0.0015943795415846562
Ccrit,350.0,280.0,420.0,-0.15940300087768958,-0.16885428253615126,0.12546825953207805,0.005744851641676017,0.0016692092023485206
Initial_Saturation,0.9,0.7200000000000001,1.08,0.1518699083383341,0.16796440489432704,0.04494005013943061,0.004047755507778429,0.0012359415047324517
anthesis_window_days,7.0,5.6000000000000005,8.4,0.12677354766659843,0.1203559510567297,0.11070879217402209,0.004872266814521267,0.0012771572793800034
TTSW1,70.0,56.0,84.0,-0.12289804883251863,-0.18309232480533927,0.005515556336466846,0.03044744677034001,0.013090252110088652
forcing_d,0.5,0.4,0.6,0.11702651529414926,0.13236929922135707,0.004320099869781022,0.010399190701462146,0.0039258095934842675
chill_c,7.2,5.760000000000001,8.64,-0.1097980462978035,-0.1403781979977753,0.03561471731415103,0.005622761870948957,0.0022300952042779193
RelLAI_b,21.42,17.136000000000003,25.704,0.09504245245756952,0.06206896551724137,0.00021644392109042678,0.01192988262027739,0.0066394426468419235
RelTr_a,6.17,4.936,7.404,-0.09352117039168201,-0.11813125695216908,0.005363180894565273,0.001984654439779969,0.0005824272063606879
SALB,0.2,0.16000000000000003,0.24,0.09259010934326138,0.08565072302558399,0.008300881380176496,0.004936680269235126,0.0014547148215474056
TMAXm,40.0,32.0,48.0,-0.09081897920767192,-0.08342602892102337,0.004075836221109855,0.005448319069980851,0.001295342178969087
RelTr_b,13.45,10.76,16.139999999999997,0.08938238039369346,0.06785317018909899,0.035187174847139235,0.005665442144228428,0.0016329138164761152
Irrigation_Threshold,0.3,0.24,0.36,-0.08362688121844666,-0.0967741935483871,0.021684275931296026,0.002262080748560894,0.0006395308530487902
RelLAI_a,78.24,62.592,93.88799999999999,0.07918835071155915,0.030033370411568408,0.028378279370746707,0.0024793437604670354,0.0012572720709882247
FTSWo,0.4,0.32000000000000006,0.48,0.0746038237896904,0.09944382647385984,0.05725805862394449,0.0034697031144544995,0.0010130423935789483
SLA_ol,5.2,4.16,6.24,-0.06453450975951709,-0.04427141268075639,0.026892534728809304,0.004560868431197563,0.0019051028706729442
chill_b,-0.5,-0.6,-0.4,0.06342889312726008,0.10300333704115683,0.04811940139236516,0.005897803779018369,0.001771852239145259
LAI_ini,3.5,2.8000000000000003,4.2,0.06067529475754912,0.006006674082313682,0.07437389996485193,0.005721071764995589,0.0015623791227463415
TMAXo,30.0,24.0,36.0,-0.05801058099394071,-0.011345939933259176,0.06619758506106563,0.005114083066479057,0.0010564492369581125
T_opt_chill_alt,7.2,5.760000000000001,8.64,0.052909761102041375,0.09944382647385984,0.07641351027951036,0.0042114426793596425,0.0014997120449358858
FcritFlo,450.0,360.0,540.0,-0.04315294834419743,-0.038042269187986644,0.040955298328201876,0.01073276535878804,0.003875219451013767
chill_a,0.01,0.008,0.012,0.030837124634337475,-0.05628476084538376,0.0339172773549126,0.0027467566168511825,0.0006314504964810563
gamma_kpa,0.067,0.05360000000000001,0.0804,-0.029672240660611474,0.0033370411568409346,0.0920946987609884,0.01215830657673329,0.005241928212161036
TE_coeff,4.0,3.2,4.8,0.004351833759064547,0.005116796440489433,0.07277871319547075,0.011291276779050835,0.0036036513697480584
HI_pot_base,0.35,0.27999999999999997,0.42,-0.004138368422902714,0.010011123470522802,0.06505219009797467,0.005288540090713012,0.0020270235948399717
LAD,2.0,1.6,2.4,0.00284217725842126,0.01935483870967742,0.0504535144422895,0.00329966081605808,0.0005505528823347354
root_frac_layer2,0.6666666666666666,0.5333333333333333,0.7999999999999999,0.0008911151463982764,0.02246941045606229,0.012879467922192266,0.004214045042634071,0.0013559871576418322
