param,base_value,min_sampled,max_sampled,pearson_r,spearman_r,std_beta_abs,rf_importance,perm_importance_mean
RUE_ol,0.41,0.3280511070034109,0.4918988466017793,0.6872489706516868,0.6816409389102348,0.6908646001213349,0.4666801979692443,0.9664011376324043
fresh_factor,2.2,1.7601491406944838,2.6390102005935567,0.6611724141710998,0.6571210387802596,0.6723745122178595,0.45848137736172345,0.8954178751017418
harvest_doy,120.0,96.00641999281376,143.95251472283414,0.20425357774926345,0.19247144861786217,0.22522109787854774,0.04485452557221062,0.08199919201541944
HI_pot_base,0.35,0.2800154405941883,0.4199385821467095,-0.17011504142157557,-0.16363791790947949,0.12902340223445177,0.00674450580794806,0.0072736185394926284
FcritFlo,450.0,360.0207170601514,539.9438862241391,0.06622958593254702,0.06407049551762388,0.0002186619112639214,0.0006223168816142766,0.00022762370184734593
anthesis_window_days,7.0,5.603009759449494,8.392095327735406,-0.053195634620018896,-0.05342460885615221,0.0011252766738028641,0.0006230131095460214,0.0001987202879561778
PlantD,1600.0,1280.4724538683663,1919.737845777274,0.04802186500966869,0.04496133224033306,0.024825520261452905,0.0007573461390788094,0.00031504842625217723
TTSW2,110.0,88.02509322815696,131.98705848712524,0.03803336607253526,0.040935514233878555,0.00031048799443995933,0.0007204410353986091,0.0002443633295018695
RelTr_b,13.45,10.762544511977348,16.137641252651655,0.03549267676840651,0.03230145657536414,0.009726988869654828,0.0008431043774537733,0.0003124226024585915
chill_c,7.2,5.761943101450112,8.636699317641046,-0.033881815119607944,-0.019002382750595688,0.01788041579717866,0.0007124948693009672,0.00025808756653406353
RelLAI_b,21.42,17.14624796002583,25.70118616882908,0.031015899690169543,0.033215030303757574,0.0018874719961417242,0.0006791022563802737,0.00023420162133303742
FTSWm,0.05,0.0400011066070669,0.059988313579222,0.026401527739476,0.025865193466298363,0.0023815264461694574,0.0007431234661620802,0.0002871418180452112
TE_coeff,4.0,3.2001954081624757,4.799391911012038,-0.0254115946712772,-0.022819568704892178,0.0014880046256894525,0.0007148215291828792,0.00025688402266580795
LAD,2.0,1.600169140132914,2.3999819922355066,-0.023074648387035854,-0.02447759111939778,0.028451048551475157,0.0009648145354572466,0.00047123291529576803
TMAXm,40.0,32.011088109316795,47.99868331991275,-0.022828512871034653,-0.02654528763632191,0.002899957066966625,0.0006395648909221507,0.00023275782053830963
chill_b,-0.5,-0.5997182795562456,-0.4000300136899474,-0.02061136069989463,-0.013075800268950066,0.00346171306167191,0.0006849467896566911,0.00024018398713903839
SLA_ol,5.2,4.160659103945413,6.236079210457549,0.02057099358586848,0.020291039072759767,0.011434741646093004,0.0007176308176708685,0.0002819877482220271
Initial_Saturation,0.9,0.7200894340688798,1.0797838016871506,0.020393992106969353,0.018209332552333136,0.0001428866936987259,0.0006182366642588449,0.00021281630691389147
Tb_forcing_alt,9.0,7.200251659328745,10.794158956441036,-0.02004466838347045,-0.016031353007838253,0.0020262185360495617,0.0006399436100684297,0.00021100791837588655
